"","Estacion","State","Species","Trans","Number"
"790","Recenso","Bolivar","Crematogaster","Med",80
"791","Recenso","Cesar","Crematogaster","Med",7
"792","Censo","Huila","Crematogaster","Med",3
"793","Recenso","Huila","Crematogaster","Med",7
"794","Censo","Tolima","Crematogaster","Med",2
"795","Recenso","Tolima","Crematogaster","Med",2
"796","Censo","Cesar","Crematogaster carinata","Med",1
"797","recenso","Cesar","Crematogaster carinata","Med",11
"798","recenso","Guajira","Crematogaster cf. tenuicula","Med",1
"799","Censo","Cesar","Crematogaster crinosa","Med",1
"800","Censo","Cesar","Crematogaster curvispinosa","Med",1
"801","Censo","Guajira","Crematogaster curvispinosa","Med",1
"802","Censo","Bolivar","Crematogaster erecta","Med",1
"803","Censo","Bolivar","Crematogaster flavosensitiva","Med",5
"804","recenso","Cesar","Crematogaster flavosensitiva","Med",2
"805","Censo","Guajira","Crematogaster flavosensitiva","Med",10
"806","recenso","Guajira","Crematogaster flavosensitiva","Med",1
"807","Censo","Bolivar","Crematogaster limata","Med",13
"808","Censo","Bolivar","Crematogaster nigropilosa","Med",4
"809","recenso","Cesar","Crematogaster nigropilosa","Med",4
"810","recenso","Guajira","Crematogaster rochai","Med",1
"811","Censo","Cesar","Cyphomyrmex","Med",3
"812","recenso","Cesar","Cyphomyrmex","Med",1
"813","Censo","Cesar","Cyphomyrmex cf. dixus","Med",3
"814","Censo","Bolivar","Cyphomyrmex costatus","Med",1
"815","Recenso","Cesar","Cyphomyrmex costatus","Med",1
"816","Censo","Guajira","Cyphomyrmex costatus","Med",20
"817","recenso","Guajira","Cyphomyrmex costatus","Med",7
"818","Censo","Tolima","Cyphomyrmex costatus","Med",1
"819","Recenso","Tolima","Cyphomyrmex costatus","Med",8
"820","Censo","Bolivar","Cyphomyrmex minutus","Med",1
"821","Censo","Cesar","Cyphomyrmex minutus","Med",2
"822","Censo","Guajira","Cyphomyrmex minutus","Med",15
"823","recenso","Guajira","Cyphomyrmex minutus","Med",3
"824","Recenso","Bolivar","Cyphomyrmex rimosus","Med",10
"825","Censo","Cesar","Cyphomyrmex rimosus","Med",1
"826","Recenso","Cesar","Cyphomyrmex rimosus","Med",58
"827","Censo","Guajira","Cyphomyrmex rimosus","Med",1
"828","Censo","Huila","Cyphomyrmex rimosus","Med",5
"829","Recenso","Huila","Cyphomyrmex rimosus","Med",133
"830","Censo","Tolima","Cyphomyrmex rimosus","Med",8
"831","Recenso","Tolima","Cyphomyrmex rimosus","Med",2
"832","Recenso","Bolivar","Discothyrea","Med",3
"833","Recenso","Cesar","Discothyrea","Med",1
"834","Recenso","Huila","Discothyrea","Med",4
"835","Censo","Guajira","Discothyrea horni","Med",2
"836","Censo","Bolivar","Discothyrea humilis","Med",1
"837","Censo","Bolivar","Discothyrea neotropica","Med",2
"838","Censo","Guajira","Discothyrea neotropica","Med",4
"839","Censo","Bolivar","Dolichoderus bispinosus","Med",4
"840","Recenso","Bolivar","Dolichoderus bispinosus","Med",3
"841","Censo","Guajira","Dolichoderus bispinosus","Med",1
"842","recenso","Guajira","Dolichoderus bispinosus","Med",1
"843","Censo","Huila","Dolichoderus bispinosus","Med",97
"844","Recenso","Huila","Dolichoderus bispinosus","Med",22
"845","Censo","Bolivar","Dolichoderus imitator","Med",1
"846","Recenso","Bolivar","Eciton burchellii","Med",1
"847","Censo","Huila","Ectatomma confine","Med",27
"848","Recenso","Huila","Ectatomma confine","Med",16
"849","Censo","Bolivar","Ectatomma ruidum","Med",11
"850","Recenso","Bolivar","Ectatomma ruidum","Med",20
"851","Censo","Cesar","Ectatomma ruidum","Med",68
"852","recenso","Cesar","Ectatomma ruidum","Med",6
"853","Recenso","Cesar","Ectatomma ruidum","Med",498
"854","Censo","Guajira","Ectatomma ruidum","Med",6
"855","recenso","Guajira","Ectatomma ruidum","Med",12
"856","Recenso","Huila","Ectatomma ruidum","Med",2
"857","Censo","Tolima","Ectatomma ruidum","Med",99
"858","Recenso","Tolima","Ectatomma ruidum","Med",209
"859","Censo","Bolivar","Ectatomma tuberculatum","Med",1
"860","Censo","Cesar","Ectatomma tuberculatum","Med",2
"861","Censo","Guajira","Ectatomma tuberculatum","Med",1
"862","recenso","Guajira","Ectatomma tuberculatum","Med",1
"863","Censo","Huila","Ectatomma tuberculatum","Med",4
"864","Censo","Cesar","Forelius damiani","Med",1
"865","recenso","Guajira","Fulakora lurilabes","Med",1
"866","Censo","Guajira","Gnamptogenys ca interrupta","Med",1
"867","recenso","Cesar","Gnamptogenys haenschi","Med",1
"868","Censo","Cesar","Gnamptogenys hartmanni","Med",1
"869","Censo","Guajira","Gnamptogenys minuta","Med",1
"870","Censo","Guajira","Gnamptogenys regularis","Med",1
"871","Recenso","Cesar","Gnamptogenys striatula","Med",1
"872","Censo","Guajira","Gnamptogenys striatula","Med",4
"873","recenso","Guajira","Gnamptogenys striatula","Med",2
"874","Censo","Bolivar","Gnamptogenys triangularis","Med",1
"875","Censo","Guajira","Hylomyrma columbica","Med",4
"876","recenso","Guajira","Hylomyrma columbica","Med",4
"877","Censo","Bolivar","Hylomyrma reitteri","Med",19
"878","Recenso","Cesar","Hypoponera","Med",4
"879","Recenso","Tolima","Hypoponera","Med",3
"880","Recenso","Bolivar","Hypoponera opacior","Med",18
"881","Recenso","Cesar","Hypoponera opacior","Med",25
"882","Recenso","Huila","Hypoponera opacior","Med",12
"883","Recenso","Cesar","Hypoponera parva","Med",2
"884","Censo","Bolivar","Labidus coecus","Med",2
"885","Recenso","Cesar","Labidus coecus","Med",9
"886","recenso","Guajira","Labidus coecus","Med",7
"887","Censo","Tolima","Labidus coecus","Med",1
"888","Recenso","Cesar","Labidus praedator","Med",12
"889","recenso","Cesar","Leptogenys cf cuadrata","Med",3
"890","Censo","Bolivar","Leptogenys ritae","Med",1
"891","Recenso","Bolivar","Linepithema neotropicum","Med",1
"892","recenso","Cesar","Linepithema neotropicum","Med",3
"893","Recenso","Cesar","Linepithema neotropicum","Med",2
"894","Censo","Huila","Linepithema neotropicum","Med",30
"895","Recenso","Huila","Linepithema neotropicum","Med",3
"896","Censo","Tolima","Linepithema neotropicum","Med",36
"897","Recenso","Tolima","Linepithema neotropicum","Med",8
"898","Censo","Bolivar","Mayaponera constricta","Med",3
"899","Recenso","Cesar","Mayaponera constricta","Med",9
"900","recenso","Guajira","Megalomyrmex drifti","Med",1
"901","Recenso","Cesar","Megalomyrmex incisus","Med",16
"902","Censo","Cesar","Megalomyrmex silvestrii","Med",1
"903","recenso","Cesar","Megalomyrmex silvestrii","Med",1
"904","Censo","Guajira","Megalomyrmex silvestrii","Med",1
"905","Recenso","Bolivar","Monomorium floricola","Med",1
"906","Recenso","Cesar","Monomorium floricola","Med",1
"907","Recenso","Huila","Monomorium floricola","Med",1
"908","Recenso","Tolima","Monomorium floricola","Med",13
"909","recenso","Guajira","Monomorium pharaoinis","Med",1
"910","Censo","Bolivar","Mycocepurus curvispinosus","Med",1
"911","Recenso","Bolivar","Mycocepurus smithii","Med",1
"912","Censo","Cesar","Myrmicocrypta","Med",1
"913","Recenso","Cesar","Myrmicocrypta urichi","Med",1
"914","Recenso","Huila","Myrmicocrypta urichi","Med",4
"915","Censo","Tolima","Myrmicocrypta urichi","Med",4
"916","Recenso","Tolima","Myrmicocrypta urichi","Med",13
"917","recenso","Cesar","Neivamyrmex cf. swainsonii","Med",1
"918","Recenso","Cesar","Neivamyrmex emersoni","Med",2
"919","Censo","Bolivar","Neivamyrmex humilis","Med",1
"920","Censo","Guajira","Neocerapachys neotropicus","Med",1
"921","Censo","Bolivar","Neoponera apicalis","Med",6
"922","recenso","Cesar","Neoponera verenae","Med",2
"923","Recenso","Cesar","Neoponera verenae","Med",7
"924","Censo","Guajira","Neoponera verenae","Med",3
"925","recenso","Guajira","Neoponera verenae","Med",1
"926","Censo","Huila","Neoponera verenae","Med",5
"927","Recenso","Huila","Neoponera verenae","Med",1
"928","Recenso","Huila","Nesomyrmex pleuriticus","Med",1
"929","Censo","Tolima","Nesomyrmex pleuriticus","Med",1
"930","recenso","Cesar","Nomamyrmex esenbeekii","Med",1
"931","Censo","Guajira","Nomamyrmex esenbeekii","Med",1
"932","recenso","Cesar","Nylanderia fulva","Med",2
"933","Recenso","Bolivar","Nylanderia nodifera","Med",100
"934","Recenso","Cesar","Nylanderia nodifera","Med",42
"935","Censo","Huila","Nylanderia nodifera","Med",57
"936","Recenso","Huila","Nylanderia nodifera","Med",149
"937","Censo","Tolima","Nylanderia nodifera","Med",8
"938","Recenso","Tolima","Nylanderia nodifera","Med",8
"939","Censo","Bolivar","Nylanderia steinheili","Med",4
"940","recenso","Cesar","Nylanderia steinheili","Med",5
"941","Censo","Guajira","Nylanderia steinheili","Med",14
"942","recenso","Guajira","Nylanderia steinheili","Med",4
"943","Censo","Bolivar","Octostruma","Med",1
"944","Censo","Bolivar","Octostruma amrishi","Med",4
"945","Censo","Cesar","Octostruma amrishi","Med",1
"946","Censo","Guajira","Octostruma amrishi","Med",16
"947","recenso","Guajira","Octostruma amrishi","Med",8
"948","Censo","Bolivar","Octostruma balzani","Med",3
"949","Censo","Cesar","Octostruma balzani","Med",1
"950","Recenso","Cesar","Octostruma balzani","Med",9
"951","Censo","Guajira","Octostruma balzani","Med",6
"952","recenso","Guajira","Octostruma balzani","Med",8
"953","Censo","Huila","Octostruma balzani","Med",2
"954","Recenso","Huila","Octostruma balzani","Med",5
"955","Censo","Guajira","Octostruma iheringi","Med",5
"956","recenso","Guajira","Octostruma iheringi","Med",4
"957","Censo","Guajira","Octostruma impresa","Med",3
"958","recenso","Cesar","Octostruma obtusidens","Med",2
"959","Censo","Guajira","Octostruma obtusidens","Med",3
"960","recenso","Guajira","Octostruma obtusidens","Med",1
"961","Censo","Bolivar","Odontomachus bauri","Med",19
"962","Recenso","Bolivar","Odontomachus bauri","Med",50
"963","Censo","Cesar","Odontomachus bauri","Med",4
"964","recenso","Cesar","Odontomachus bauri","Med",9
"965","Recenso","Cesar","Odontomachus bauri","Med",19
"966","Censo","Guajira","Odontomachus bauri","Med",12
"967","recenso","Guajira","Odontomachus bauri","Med",2
"968","Censo","Huila","Odontomachus bauri","Med",22
"969","Recenso","Huila","Odontomachus bauri","Med",8
"970","Censo","Tolima","Odontomachus bauri","Med",34
"971","Recenso","Tolima","Odontomachus bauri","Med",2
"972","recenso","Cesar","Odontomachus chelifer","Med",1
"973","Censo","Bolivar","Odontomachus ruginodis","Med",6
"974","Censo","Bolivar","Pachycondyla harpax","Med",20
"975","Recenso","Bolivar","Pachycondyla harpax","Med",11
"976","Censo","Cesar","Pachycondyla harpax","Med",1
"977","recenso","Cesar","Pachycondyla harpax","Med",2
"978","Recenso","Cesar","Pachycondyla harpax","Med",3
"979","Censo","Guajira","Pachycondyla harpax","Med",25
"980","recenso","Guajira","Pachycondyla harpax","Med",26
"981","Censo","Huila","Pachycondyla harpax","Med",6
"982","Recenso","Huila","Pachycondyla harpax","Med",10
"983","Censo","Tolima","Pachycondyla harpax","Med",6
"984","Recenso","Tolima","Pachycondyla harpax","Med",2
"985","Censo","Bolivar","Pachycondyla impressa","Med",5
"986","Recenso","Bolivar","Pachycondyla impressa","Med",2
"987","Recenso","Cesar","Pachycondyla impressa","Med",3
"988","Censo","Guajira","Pachycondyla impressa","Med",2
"989","recenso","Guajira","Pachycondyla impressa","Med",1
"990","Censo","Huila","Pachycondyla impressa","Med",1
"991","Censo","Tolima","Paratrechina longicornis","Med",2
"992","Recenso","Tolima","Paratrechina longicornis","Med",11
"993","Recenso","Bolivar","Pheidole","Med",69
"994","Recenso","Cesar","Pheidole","Med",151
"995","Censo","Huila","Pheidole","Med",60
"996","Recenso","Huila","Pheidole","Med",99
"997","Censo","Tolima","Pheidole","Med",58
"998","Recenso","Tolima","Pheidole","Med",51
"999","Censo","Bolivar","Pheidole scalaris","Med",8
"1000","Censo","Cesar","Pheidole scalaris","Med",21
"1001","recenso","Cesar","Pheidole scalaris","Med",24
"1002","Censo","Guajira","Pheidole scalaris","Med",7
"1003","recenso","Guajira","Pheidole scalaris","Med",4
"1004","Recenso","Bolivar","Pogonomyrmex mayri","Med",82
"1005","Censo","Huila","Pseudomyrmex boopis","Med",4
"1006","Recenso","Huila","Pseudomyrmex boopis","Med",2
"1007","Censo","Tolima","Pseudomyrmex boopis","Med",1
"1008","Recenso","Tolima","Pseudomyrmex boopis","Med",1
"1009","Censo","Bolivar","Rasopone arhuaca","Med",4
"1010","Recenso","Bolivar","Rasopone arhuaca","Med",3
"1011","recenso","Cesar","Rasopone arhuaca","Med",1
"1012","Recenso","Cesar","Rasopone arhuaca","Med",4
"1013","Censo","Bolivar","Rasopone ferruginea","Med",2
"1014","Recenso","Bolivar","Rasopone ferruginea","Med",1
"1015","recenso","Guajira","Rasopone ferruginea","Med",1
"1016","Censo","Guajira","Rhopalothrix isthmica","Med",2
"1017","Censo","Cesar","Rogeria","Med",1
"1018","Censo","Guajira","Rogeria belti","Med",11
"1019","recenso","Guajira","Rogeria belti","Med",5
"1020","Censo","Cesar","Rogeria curvipubens","Med",1
"1021","Recenso","Cesar","Rogeria curvipubens","Med",1
"1022","Censo","Guajira","Rogeria curvipubens","Med",4
"1023","recenso","Guajira","Rogeria curvipubens","Med",4
"1024","Censo","Tolima","Rogeria curvipubens","Med",5
"1025","Recenso","Tolima","Rogeria curvipubens","Med",1
"1026","Censo","Bolivar","Rogeria foreli","Med",3
"1027","Recenso","Bolivar","Rogeria foreli","Med",2
"1028","Censo","Cesar","Rogeria foreli","Med",2
"1029","recenso","Cesar","Rogeria foreli","Med",1
"1030","Recenso","Cesar","Rogeria foreli","Med",6
"1031","Censo","Guajira","Rogeria foreli","Med",5
"1032","recenso","Guajira","Rogeria foreli","Med",7
"1033","Censo","Bolivar","Sericomyrmex amabilis","Med",4
"1034","Recenso","Bolivar","Sericomyrmex amabilis","Med",3
"1035","recenso","Cesar","Sericomyrmex amabilis","Med",1
"1036","Censo","Guajira","Sericomyrmex amabilis","Med",5
"1037","Recenso","Huila","Sericomyrmex amabilis","Med",5
"1038","Recenso","Bolivar","Sericomyrmex mayri","Med",2
"1039","Censo","Bolivar","Sericomyrmex opacus","Med",3
"1040","Censo","Bolivar","Solenopsis","Med",1
"1041","Recenso","Bolivar","Solenopsis","Med",49
"1042","Recenso","Cesar","Solenopsis","Med",119
"1043","Censo","Huila","Solenopsis","Med",9
"1044","Recenso","Huila","Solenopsis","Med",51
"1045","Censo","Tolima","Solenopsis","Med",28
"1046","Recenso","Tolima","Solenopsis","Med",43
"1047","Censo","Bolivar","Solenopsis altinodis","Med",5
"1048","Censo","Cesar","Solenopsis altinodis","Med",3
"1049","Censo","Bolivar","Solenopsis azteca","Med",5
"1050","recenso","Cesar","Solenopsis azteca","Med",11
"1051","Censo","Guajira","Solenopsis azteca","Med",8
"1052","recenso","Guajira","Solenopsis azteca","Med",3
"1053","Censo","Guajira","Solenopsis bicolor","Med",4
"1054","recenso","Guajira","Solenopsis bicolor","Med",4
"1055","Censo","Bolivar","Solenopsis brevicornis","Med",1
"1056","Censo","Bolivar","Solenopsis cf. picea","Med",1
"1057","Censo","Cesar","Solenopsis cf. picea","Med",1
"1058","recenso","Cesar","Solenopsis cf. picea","Med",7
"1059","Censo","Guajira","Solenopsis cf. picea","Med",4
"1060","Censo","Bolivar","Solenopsis geminata","Med",5
"1061","Censo","Cesar","Solenopsis geminata","Med",14
"1062","recenso","Cesar","Solenopsis geminata","Med",20
"1063","Censo","Guajira","Solenopsis geminata","Med",1
"1064","Censo","Bolivar","Solenopsis pigmea","Med",3
"1065","recenso","Cesar","Solenopsis pigmea","Med",2
"1066","Censo","Guajira","Solenopsis pigmea","Med",4
"1067","Censo","Bolivar","Solenopsis pollux","Med",15
"1068","Censo","Cesar","Solenopsis pollux","Med",6
"1069","recenso","Cesar","Solenopsis pollux","Med",10
"1070","Censo","Guajira","Solenopsis pollux","Med",18
"1071","recenso","Guajira","Solenopsis pollux","Med",11
"1072","Censo","Guajira","Solenopsis stricta","Med",1
"1073","Censo","Bolivar","Solenopsis subterrranea","Med",3
"1074","Censo","Cesar","Solenopsis subterrranea","Med",11
"1075","recenso","Cesar","Solenopsis subterrranea","Med",4
"1076","Censo","Guajira","Solenopsis subterrranea","Med",3
"1077","recenso","Guajira","Solenopsis subterrranea","Med",3
"1078","Censo","Bolivar","Solenopsis vinsoni","Med",4
"1079","Censo","Cesar","Solenopsis vinsoni","Med",3
"1080","recenso","Cesar","Solenopsis vinsoni","Med",9
"1081","Censo","Guajira","Solenopsis vinsoni","Med",3
"1082","Censo","Bolivar","Strumigenys deltisquama","Med",1
"1083","Recenso","Bolivar","Strumigenys deltisquama","Med",20
"1084","Recenso","Cesar","Strumigenys deltisquama","Med",47
"1085","Censo","Guajira","Strumigenys deltisquama","Med",2
"1086","Recenso","Tolima","Strumigenys deltisquama","Med",2
"1087","Censo","Bolivar","Strumigenys denticulata","Med",2
"1088","Censo","Guajira","Strumigenys denticulata","Med",7
"1089","recenso","Guajira","Strumigenys denticulata","Med",1
"1090","Censo","Bolivar","Strumigenys eggersi","Med",2
"1091","Censo","Cesar","Strumigenys eggersi","Med",1
"1092","Censo","Guajira","Strumigenys eggersi","Med",3
"1093","recenso","Guajira","Strumigenys eggersi","Med",1
"1094","Censo","Bolivar","Strumigenys elongata","Med",2
"1095","Recenso","Bolivar","Strumigenys elongata","Med",15
"1096","Recenso","Cesar","Strumigenys elongata","Med",6
"1097","Censo","Guajira","Strumigenys elongata","Med",9
"1098","recenso","Guajira","Strumigenys elongata","Med",5
"1099","Censo","Tolima","Strumigenys elongata","Med",1
"1100","Recenso","Tolima","Strumigenys elongata","Med",1
"1101","Recenso","Bolivar","Strumigenys grytava","Med",2
"1102","recenso","Cesar","Strumigenys grytava","Med",1
"1103","Recenso","Cesar","Strumigenys grytava","Med",9
"1104","Recenso","Tolima","Strumigenys grytava","Med",40
"1105","Recenso","Bolivar","Strumigenys gundlachi","Med",18
"1106","Recenso","Cesar","Strumigenys gundlachi","Med",7
"1107","Censo","Huila","Strumigenys gundlachi","Med",3
"1108","Recenso","Huila","Strumigenys gundlachi","Med",4
"1109","Censo","Tolima","Strumigenys gundlachi","Med",1
"1110","Censo","Bolivar","Strumigenys lanuginosa","Med",1
"1111","Censo","Guajira","Strumigenys lanuginosa","Med",1
"1112","recenso","Guajira","Strumigenys lanuginosa","Med",1
"1113","Censo","Guajira","Strumigenys louisianae","Med",1
"1114","Censo","Bolivar","Strumigenys marginiventris","Med",1
"1115","Recenso","Bolivar","Strumigenys marginiventris","Med",8
"1116","Censo","Cesar","Strumigenys marginiventris","Med",1
"1117","Recenso","Cesar","Strumigenys marginiventris","Med",9
"1118","Censo","Guajira","Strumigenys marginiventris","Med",2
"1119","recenso","Guajira","Strumigenys marginiventris","Med",1
"1120","Censo","Tolima","Strumigenys marginiventris","Med",4
"1121","Recenso","Tolima","Strumigenys marginiventris","Med",16
"1122","Recenso","Bolivar","Strumigenys perparva","Med",1
"1123","Recenso","Huila","Strumigenys perparva","Med",6
"1124","recenso","Guajira","Strumigenys spathula","Med",1
"1125","Censo","Bolivar","Strumigenys zeteki","Med",1
"1126","recenso","Cesar","Strumigenys zeteki","Med",1
"1127","Censo","Guajira","Strumigenys zeteki","Med",6
"1128","recenso","Guajira","Strumigenys zeteki","Med",2
"1129","recenso","Cesar","Tapinoma cf. ramulorum","Med",1
"1130","recenso","Cesar","Tapinoma melanocephalum","Med",1
"1131","recenso","Guajira","Tapinoma melanocephalum","Med",1
"1132","Censo","Tolima","Tapinoma melanocephalum","Med",15
"1133","Recenso","Tolima","Tapinoma melanocephalum","Med",1
"1134","Censo","Huila","Temnothorax subditivus","Med",1
"1135","Recenso","Cesar","Thaumatomyrmex atrox","Med",1
"1136","Recenso","Bolivar","Thaumatomyrmex zeteki","Med",1
"1137","recenso","Guajira","Thaumatomyrmex zeteki","Med",1
"1138","Recenso","Huila","Thaumatomyrmex zeteki","Med",2
"1139","Censo","Cesar","Trachymyrmex","Med",4
"1140","Censo","Bolivar","Trachymyrmex bugnioni","Med",2
"1141","Recenso","Bolivar","Trachymyrmex bugnioni","Med",1
"1142","Censo","Cesar","Trachymyrmex bugnioni","Med",4
"1143","recenso","Cesar","Trachymyrmex bugnioni","Med",1
"1144","Recenso","Cesar","Trachymyrmex bugnioni","Med",24
"1145","Censo","Guajira","Trachymyrmex bugnioni","Med",2
"1146","recenso","Guajira","Trachymyrmex bugnioni","Med",1
"1147","Recenso","Huila","Trachymyrmex bugnioni","Med",1
"1148","Censo","Bolivar","Trachymyrmex cornetzi","Med",8
"1149","Recenso","Bolivar","Trachymyrmex cornetzi","Med",5
"1150","Censo","Cesar","Trachymyrmex cornetzi","Med",5
"1151","recenso","Cesar","Trachymyrmex cornetzi","Med",2
"1152","Recenso","Cesar","Trachymyrmex cornetzi","Med",17
"1153","Censo","Guajira","Trachymyrmex cornetzi","Med",6
"1154","recenso","Guajira","Trachymyrmex cornetzi","Med",2
"1155","Recenso","Huila","Trachymyrmex irmgardae","Med",5
"1156","Censo","Tolima","Trachymyrmex irmgardae","Med",6
"1157","Recenso","Tolima","Trachymyrmex irmgardae","Med",2
"1158","Recenso","Cesar","Trachymyrmex opulentus","Med",1
"1159","Censo","Bolivar","Tranopelta gilva","Med",2
"1160","Recenso","Bolivar","Tranopelta gilva","Med",1
"1161","recenso","Cesar","Tranopelta gilva","Med",3
"1162","Recenso","Cesar","Tranopelta gilva","Med",1
"1163","Censo","Guajira","Tranopelta gilva","Med",3
"1164","Censo","Huila","Tranopelta gilva","Med",1
"1165","Recenso","Huila","Tranopelta gilva","Med",1
"1166","Recenso","Bolivar","Trichomyrmex destructor","Med",8
"1167","Censo","Cesar","Trichomyrmex destructor","Med",3
"1168","recenso","Guajira","Trichomyrmex destructor","Med",1
"1169","Censo","Tolima","Trichomyrmex destructor","Med",98
"1170","recenso","Cesar","Typhlomyrmex pusillus","Med",1
"1171","Censo","Bolivar","Wasmannia auropunctata","Med",16
"1172","Recenso","Bolivar","Wasmannia auropunctata","Med",142
"1173","Censo","Cesar","Wasmannia auropunctata","Med",12
"1174","recenso","Cesar","Wasmannia auropunctata","Med",17
"1175","Recenso","Cesar","Wasmannia auropunctata","Med",257
"1176","Censo","Guajira","Wasmannia auropunctata","Med",53
"1177","recenso","Guajira","Wasmannia auropunctata","Med",41
"1178","Censo","Huila","Wasmannia auropunctata","Med",73
"1179","Recenso","Huila","Wasmannia auropunctata","Med",70
"1180","Censo","Tolima","Wasmannia auropunctata","Med",89
"1181","Recenso","Tolima","Wasmannia auropunctata","Med",10
"1182","Censo","Huila","Wasmannia rochai","Med",1
