"","code","family","genus","specificEpithet","life_form","scientificName","scientificName2","scientifiNameV"
"1","Abarsp","Fabaceae","Abarema","sp","tree","Abarema sp","Abarema sp","Abarema"
"2","Acaldive","Euphorbiaceae","Acalypha","diversifolia","shrub","Acalypha diversifolia","Acalypha diversifolia","Acalypha diversifolia"
"3","Acalmacr","Euphorbiaceae","Acalypha","macrostachya","tree","Acalypha macrostachya","Acalypha macrostachya","Acalypha macrostachya"
"4","Acalsp","Euphorbiaceae","Acalypha","sp","shrub","Acalypha sp","Acalypha sp","Acalypha"
"5","Acantetr","Cactaceae","Acanthocereus","tetragonus","cactus","Acanthocereus tetragonus","Acanthocereus tetragonus","Acanthocereus tetragonus"
"6","Achanigr","Achatocarpaceae","Achatocarpus","nigricans","treelet","Achatocarpus nigricans","Achatocarpus nigricans","Achatocarpus nigricans"
"7","Adenaspe","Bignoniaceae","Adenocalymma","aspericarpum","liana","Adenocalymma aspericarpum","Adenocalymma aspericarpum","Adenocalymma aspericarpum"
"8","Aegiinte","Lamiaceae","Aegiphila","integrifolia","shrub","Aegiphila integrifolia","Aegiphila integrifolia","Aegiphila integrifolia"
"9","Aegisp","Lamiaceae","Aegiphila","sp","shrub","Aegiphila sp","Aegiphila sp","Aegiphila"
"10","Aegisp1","Lamiaceae","Aegiphila","sp1","tree","Aegiphila sp1","Aegiphila sp","Aegiphila"
"11","Agonbras","Opiliaceae","Agonandra","brasiliensis","tree","Agonandra brasiliensis","Agonandra brasiliensis","Agonandra brasiliensis"
"12","Aiousp","Lauraceae","Aiouea","sp","tree","Aiouea sp","Aiouea sp","Aiouea"
"13","Aiphhorr","Arecaceae","Aiphanes","horrida","palm","Aiphanes horrida","Aiphanes horrida","Aiphanes horrida"
"14","Albicarb","Fabaceae","Albizia","carbonaria","tree","Albizia carbonaria","Albizia carbonaria","Albizia carbonaria"
"15","Albiniop","Fabaceae","Albizia","niopoides","tree","Albizia niopoides","Albizia niopoides","Albizia niopoides"
"16","Albisp","Fabaceae","Albizia","sp","treelet","Albizia sp","Albizia sp","Albizia"
"17","Albisp1","Fabaceae","Albizia","sp1","tree","Albizia sp1","Albizia sp","Albizia"
"18","Albisp2","Fabaceae","Albizia","sp2","tree","Albizia sp2","Albizia sp","Albizia"
"19","Alibsp","Rubiaceae","Alibertia","sp","tree","Alibertia sp","Alibertia sp","Alibertia"
"20","Alloniti","Sapindaceae","Allophylus","nitidulus","tree","Allophylus nitidulus","Allophylus nitidulus","Allophylus nitidulus"
"21","Allorace","Sapindaceae","Allophylus","racemosus","tree","Allophylus racemosus","Allophylus racemosus","Allophylus racemosus"
"22","Allosp","Sapindaceae","Allophylus","sp","tree","Allophylus sp","Allophylus sp","Allophylus"
"23","Alseblac","Rubiaceae","Alseis","blackiana","tree","Alseis blackiana","Alseis blackiana","Alseis blackiana"
"24","Amaicory","Rubiaceae","Amaioua","corymbosa","tree","Amaioua corymbosa","Amaioua corymbosa","Amaioua corymbosa"
"25","Amanguia","Phyllanthaceae","Amanoa","guianensis","tree","Amanoa guianensis","Amanoa guianensis","Amanoa guianensis"
"26","Ampemacp","Ulmaceae","Ampelocera","macphersonii","tree","Ampelocera macphersonii","Ampelocera macphersonii","Ampelocera macphersonii"
"27","Ampesp1","Ulmaceae","Ampelocera","sp1","tree","Ampelocera sp1","Ampelocera sp","Ampelocera"
"28","Amphpani","Bignoniaceae","Amphilophium","paniculatum","liana","Amphilophium paniculatum","Amphilophium paniculatum","Amphilophium paniculatum"
"29","Amyrpinn","Rutaceae","Amyris","pinnata","tree","Amyris pinnata","Amyris pinnata","Amyris pinnata"
"30","Anacexce","Anacardiaceae","Anacardium","excelsum","tree","Anacardium excelsum","Anacardium excelsum","Anacardium excelsum"
"31","Anemsp","Bignoniaceae","Anemopaegma","sp","liana","Anemopaegma sp","Anemopaegma sp","Anemopaegma"
"32","Annojahn","Annonaceae","Annona","jahnii","tree","Annona jahnii","Annona jahnii","Annona jahnii"
"33","Annomuri","Annonaceae","Annona","muricata","tree","Annona muricata","Annona muricata","Annona muricata"
"34","Annoneov","Annonaceae","Annona","neovelutina","tree","Annona neovelutina","Annona neovelutina","Annona neovelutina"
"35","Annorens","Annonaceae","Annona","rensoniana","tree","Annona rensoniana","Annona rensoniana","Annona rensoniana"
"36","Anreflor","Basellaceae","Anredera","floribunda","liana","Anredera floribunda","Anredera floribunda","Anredera floribunda"
"37","Apeischo","Malvaceae","Apeiba","schomburgkii","tree","Apeiba schomburgkii","Apeiba schomburgkii","Apeiba schomburgkii"
"38","Apeitibo","Malvaceae","Apeiba","tibourbou","tree","Apeiba tibourbou","Apeiba tibourbou","Apeiba tibourbou"
"39","Aphescab","Acanthaceae","Aphelandra","scabra","shrub","Aphelandra scabra","Aphelandra scabra","Aphelandra scabra"
"40","Aralexce","Araliaceae","Aralia","excelsa","treelet","Aralia excelsa","Aralia excelsa","Aralia excelsa"
"41","Ardifoet","Primulaceae","Ardisia","foetida","shrub","Ardisia foetida","Ardisia foetida","Ardisia foetida"
"42","Arismaxi","Aristolochiaceae","Aristolochia","maxima","liana","Aristolochia maxima","Aristolochia maxima","Aristolochia maxima"
"43","Arissp","Aristolochiaceae","Aristolochia","sp","liana","Aristolochia sp","Aristolochia sp","Aristolochia"
"44","Arrasp","Bignoniaceae","Arrabidaea","sp","liana","Arrabidaea sp","Arrabidaea sp","Arrabidaea"
"45","Asclsp","Apocynaceae","Asclepias","sp","forb","Asclepias sp","Asclepias sp","Asclepias"
"46","Aspicusp","Apocynaceae","Aspidosperma","cuspa","tree","Aspidosperma cuspa","Aspidosperma cuspa","Aspidosperma cuspa"
"47","Aspipoly","Apocynaceae","Aspidosperma","polyneuron","tree","Aspidosperma polyneuron","Aspidosperma polyneuron","Aspidosperma polyneuron"
"48","Aspisp","Apocynaceae","Aspidosperma","sp","tree","Aspidosperma sp","Aspidosperma sp","Aspidosperma"
"49","Aspisp1","Apocynaceae","Aspidosperma","sp1","tree","Aspidosperma sp1","Aspidosperma sp","Aspidosperma"
"50","Astrgrav","Anacardiaceae","Astronium","graveolens","tree","Astronium graveolens","Astronium graveolens","Astronium graveolens"
"51","Attabuty","Arecaceae","Attalea","butyracea","palm","Attalea butyracea","Attalea butyracea","Attalea butyracea"
"52","Attamicr","Arecaceae","Attalea","microcarpa","palm","Attalea microcarpa","Attalea microcarpa","Attalea microcarpa"
"53","Bactbide","Arecaceae","Bactris","bidentula","palm","Bactris bidentula","Bactris bidentula","Bactris bidentula"
"54","Bactpilo","Arecaceae","Bactris","pilosa","palm","Bactris pilosa","Bactris pilosa","Bactris pilosa"
"55","Bactsp","Arecaceae","Bactris","sp","palm","Bactris sp","Bactris sp","Bactris"
"56","Banaargu","Salicaceae","Banara","arguta","shrub","Banara arguta","Banara arguta","Banara arguta"
"57","Banaibag","Salicaceae","Banara","ibaguensis","shrub","Banara ibaguensis","Banara ibaguensis","Banara ibaguensis"
"58","Bauhglab","Fabaceae","Bauhinia","glabra","liana","Bauhinia glabra","Bauhinia glabra","Bauhinia glabra"
"59","Bauhhyme","Fabaceae","Bauhinia","hymenaeifolia","liana","Bauhinia hymenaeifolia","Bauhinia hymenaeifolia","Bauhinia hymenaeifolia"
"60","Bauhpeti","Fabaceae","Bauhinia","petiolata","treelet","Bauhinia petiolata","Bauhinia petiolata","Bauhinia petiolata"
"61","Belenemo","Capparaceae","Belencita","nemorosa","shrub","Belencita nemorosa","Belencita nemorosa","Belencita nemorosa"
"62","Bentsp","Fabaceae","Bentamantha","sp","tree","Bentamantha sp","Bentamantha sp",NA
"63","Bertangu","Rubiaceae","Bertiera","angustifolia","tree","Bertiera angustifolia","Bertiera angustifolia","Bertiera angustifolia"
"64","Bignaequ","Bignoniaceae","Bignonia","aequinoctialis","liana","Bignonia aequinoctialis","Bignonia aequinoctialis","Bignonia aequinoctialis"
"65","Bignpter","Bignoniaceae","Bignonia","pterocalyx","liana","Bignonia pterocalyx","Bignonia pterocalyx","Bignonia pterocalyx"
"66","Bignsp","Bignoniaceae","Bignonia","sp","liana","Bignonia sp","Bignonia sp","Bignonia"
"67","Bonefrut","Primulaceae","Bonellia","frutescens","shrub","Bonellia frutescens","Bonellia frutescens","Bonellia frutescens"
"68","Bourcuma","Boraginaceae","Bourreria","cumanensis","tree","Bourreria cumanensis","Bourreria cumanensis","Bourreria cumanensis"
"69","Broncorn","Malpighiaceae","Bronwenia","cornifolia","liana","Bronwenia cornifolia","Bronwenia cornifolia","Bronwenia cornifolia"
"70","Brosalic","Moraceae","Brosimum","alicastrum","tree","Brosimum alicastrum","Brosimum alicastrum","Brosimum alicastrum"
"71","Brosguia","Moraceae","Brosimum","guianense","tree","Brosimum guianense","Brosimum guianense","Brosimum guianense"
"72","Brossp","Moraceae","Brosimum","sp","tree","Brosimum sp","Brosimum sp","Brosimum"
"73","Browariz","Fabaceae","Brownea","ariza","tree","Brownea ariza","Brownea ariza","Brownea ariza"
"74","Bulnarbo","Zygophyllaceae","Bulnesia","arborea","tree","Bulnesia arborea","Bulnesia arborea","Bulnesia arborea"
"75","Buncarme","Malpighiaceae","Bunchosia","armeniaca","tree","Bunchosia armeniaca","Bunchosia armeniaca","Bunchosia armeniaca"
"76","Buncdiph","Malpighiaceae","Bunchosia","diphylla","shrub","Bunchosia diphylla","Bunchosia diphylla","Bunchosia diphylla"
"77","Buncodor","Malpighiaceae","Bunchosia","odorata","shrub","Bunchosia odorata","Bunchosia odorata","Bunchosia odorata"
"78","Buncpseu","Malpighiaceae","Bunchosia","pseudonitida","tree","Bunchosia pseudonitida","Bunchosia pseudonitida","Bunchosia pseudonitida"
"79","Buncsp","Malpighiaceae","Bunchosia","sp","shrub","Bunchosia sp","Bunchosia sp","Bunchosia"
"80","Buncsp2","Malpighiaceae","Bunchosia","sp2","liana","Bunchosia sp2","Bunchosia sp","Bunchosia"
"81","Bursgrav","Burseraceae","Bursera","graveolens","tree","Bursera graveolens","Bursera graveolens","Bursera graveolens"
"82","Burssima","Burseraceae","Bursera","simaruba","tree","Bursera simaruba","Bursera simaruba","Bursera simaruba"
"83","Burstome","Burseraceae","Bursera","tomentosa","tree","Bursera tomentosa","Bursera tomentosa","Bursera tomentosa"
"84","Caescass","Fabaceae","Caesalpinia","cassioides","shrub","Caesalpinia cassioides","Caesalpinia cassioides","Caesalpinia cassioides"
"85","Caescori","Fabaceae","Caesalpinia","coriaria","treelet","Caesalpinia coriaria","Caesalpinia coriaria","Caesalpinia coriaria"
"86","Caeseban","Fabaceae","Caesalpinia","ebano","tree","Caesalpinia ebano","Caesalpinia ebano","Caesalpinia ebano"
"87","Caespunc","Fabaceae","Caesalpinia","punctata","tree","Caesalpinia punctata","Caesalpinia punctata","Caesalpinia punctata"
"88","Caessp","Fabaceae","Caesalpinia","sp","tree","Caesalpinia sp","Caesalpinia sp","Caesalpinia"
"89","Callacum","Lamiaceae","Callicarpa","acuminata","treelet","Callicarpa acuminata","Callicarpa acuminata","Callicarpa acuminata"
"90","Calllati","Bignoniaceae","Callichlamys","latifolia","liana","Callichlamys latifolia","Callichlamys latifolia","Callichlamys latifolia"
"91","Callmagd","Fabaceae","Calliandra","magdalenae","tree","Calliandra magdalenae","Calliandra magdalenae","Calliandra magdalenae"
"92","Calobras","Calophyllaceae","Calophyllum","brasiliense","tree","Calophyllum brasiliense","Calophyllum brasiliense","Calophyllum brasiliense"
"93","Calycand","Rubiaceae","Calycophyllum","candidissimum","tree","Calycophyllum candidissimum","Calycophyllum candidissimum","Calycophyllum candidissimum"
"94","Calymeri","Myrtaceae","Calyptranthes","meridensis","tree","Calyptranthes meridensis","Calyptranthes meridensis","Calyptranthes meridensis"
"95","Calymult","Myrtaceae","Calyptranthes","multiflora","tree","Calyptranthes multiflora","Calyptranthes multiflora","Calyptranthes multiflora"
"96","Calyspec","Myrtaceae","Calyptranthes","speciosa","tree","Calyptranthes speciosa","Calyptranthes speciosa","Calyptranthes speciosa"
"97","Cappfron","Capparaceae","Capparidastrum","frondosum","tree","Capparidastrum frondosum","Capparidastrum frondosum","Capparidastrum frondosum"
"98","Capppach","Capparaceae","Capparidastrum","pachaca","tree","Capparidastrum pachaca","Capparidastrum pachaca","Capparidastrum pachaca"
"99","Cappsola","Capparaceae","Capparidastrum","sola","tree","Capparidastrum sola","Capparidastrum sola","Capparidastrum sola"
"100","Cappsp2","Capparaceae","Capparis","sp2","tree","Capparis sp2","Capparis sp","Capparis"
"101","Capptenu","Capparaceae","Capparidastrum","tenuisiliquum","tree","Capparidastrum tenuisiliquum","Capparidastrum tenuisiliquum","Capparidastrum tenuisiliquum"
"102","Caseacul","Salicaceae","Casearia","aculeata","tree","Casearia aculeata","Casearia aculeata","Casearia aculeata"
"103","Casecory","Salicaceae","Casearia","corymbosa","tree","Casearia corymbosa","Casearia corymbosa","Casearia corymbosa"
"104","Caseprae","Salicaceae","Casearia","praecox","tree","Casearia praecox","Casearia praecox","Casearia praecox"
"105","Casesp1","Salicaceae","Casearia","sp1","tree","Casearia sp1","Casearia sp","Casearia"
"106","Casesp2","Salicaceae","Casearia","sp2","tree","Casearia sp2","Casearia sp","Casearia"
"107","Casesp4","Salicaceae","Casearia","sp4","tree","Casearia sp4","Casearia sp","Casearia"
"108","Casesp6","Salicaceae","Casearia","sp6","tree","Casearia sp6","Casearia sp","Casearia"
"109","Casesylv","Salicaceae","Casearia","sylvestris","tree","Casearia sylvestris","Casearia sylvestris","Casearia sylvestris"
"110","Casetrem","Salicaceae","Casearia","tremula","treelet","Casearia tremula","Casearia tremula","Casearia tremula"
"111","Caseulmi","Salicaceae","Casearia","ulmifolia","tree","Casearia ulmifolia","Casearia ulmifolia","Casearia ulmifolia"
"112","Casezizy","Salicaceae","Casearia","zizyphoides","treelet","Casearia zizyphoides","Casearia zizyphoides","Casearia zizyphoides"
"113","Casssp","Fabaceae","Cassia","sp","tree","Cassia sp","Cassia sp","Cassia"
"114","Castelas","Moraceae","Castilla","elastica","tree","Castilla elastica","Castilla elastica","Castilla elastica"
"115","Cavaplat","Malvaceae","Cavanillesia","platanifolia","tree","Cavanillesia platanifolia","Cavanillesia platanifolia","Cavanillesia platanifolia"
"116","Cecrpelt","Urticaceae","Cecropia","peltata","tree","Cecropia peltata","Cecropia peltata","Cecropia peltata"
"117","Cedrodor","Meliaceae","Cedrela","odorata","tree","Cedrela odorata","Cedrela odorata","Cedrela odorata"
"118","Ceibpent","Malvaceae","Ceiba","pentandra","tree","Ceiba pentandra","Ceiba pentandra","Ceiba pentandra"
"119","Celtigua","Cannabaceae","Celtis","iguanaea","liana","Celtis iguanaea","Celtis iguanaea","Celtis iguanaea"
"120","Cerehexa","Cactaceae","Cereus","hexagonus","cactus","Cereus hexagonus","Cereus hexagonus","Cereus hexagonus"
"121","Cestschl","Solanaceae","Cestrum","schlechtendalii","shrub","Cestrum schlechtendalii","Cestrum schlechtendalii","Cestrum schlechtendalii"
"122","Cestsp1","Solanaceae","Cestrum","sp1","tree","Cestrum sp1","Cestrum sp","Cestrum"
"123","Cheisp","Celastraceae","Cheiloclinium","sp","liana","Cheiloclinium sp","Cheiloclinium sp","Cheiloclinium"
"124","Chioalba","Rubiaceae","Chiococca","alba","shrub","Chiococca alba","Chiococca alba","Chiococca alba"
"125","Chiosp","Rubiaceae","Chiococca","sp","shrub","Chiococca sp","Chiococca sp","Chiococca"
"126","Chlomang","Fabaceae","Chloroleucon","mangense","tree","Chloroleucon mangense","Chloroleucon mangense","Chloroleucon mangense"
"127","Chomspin","Rubiaceae","Chomelia","spinosa","treelet","Chomelia spinosa","Chomelia spinosa","Chomelia spinosa"
"128","Chroperg","Asteraceae","Chromolaena","perglabra","shrub","Chromolaena perglabra","Chromolaena perglabra","Chromolaena perglabra"
"129","Chrycain","Sapotaceae","Chrysophyllum","cainito","tree","Chrysophyllum cainito","Chrysophyllum cainito","Chrysophyllum cainito"
"130","Cisssp","Vitaceae","Cissus","sp","liana","Cissus sp","Cissus sp","Cissus"
"131","Cissvert","Vitaceae","Cissus","verticillata","liana","Cissus verticillata","Cissus verticillata","Cissus verticillata"
"132","Cithkunt","Verbenaceae","Citharexylum","kunthianum","treelet","Citharexylum kunthianum","Citharexylum kunthianum","Citharexylum kunthianum"
"133","Clarbifl","Moraceae","Clarisia","biflora","tree","Clarisia biflora","Clarisia biflora","Clarisia biflora"
"134","Clarrace","Moraceae","Clarisia","racemosa","tree","Clarisia racemosa","Clarisia racemosa","Clarisia racemosa"
"135","Clatmacr","Fabaceae","Clathrotropis","macrocarpa","tree","Clathrotropis macrocarpa","Clathrotropis macrocarpa","Clathrotropis macrocarpa"
"136","Clavspat","Primulaceae","Clavija","spathulata","tree","Clavija spathulata","Clavija spathulata","Clavija spathulata"
"137","Clitdend","Fabaceae","Clitoria","dendrina","shrub","Clitoria dendrina","Clitoria dendrina","Clitoria dendrina"
"138","Clusgran","Clusiaceae","Clusia","grandiflora","tree","Clusia grandiflora","Clusia grandiflora","Clusia grandiflora"
"139","Clusumbe","Clusiaceae","Clusia","umbellata","tree","Clusia umbellata","Clusia umbellata","Clusia"
"140","Coccacum","Polygonaceae","Coccoloba","acuminata","treelet","Coccoloba acuminata","Coccoloba acuminata","Coccoloba acuminata"
"141","Cocccara","Polygonaceae","Coccoloba","caracasana","tree","Coccoloba caracasana","Coccoloba caracasana","Coccoloba caracasana"
"142","Coccdens","Polygonaceae","Coccoloba","densifrons","tree","Coccoloba densifrons","Coccoloba densifrons","Coccoloba densifrons"
"143","Coccobov","Polygonaceae","Coccoloba","obovata","tree","Coccoloba obovata","Coccoloba obovata","Coccoloba obovata"
"144","Coccobtu","Polygonaceae","Coccoloba","obtusifolia","tree","Coccoloba obtusifolia","Coccoloba obtusifolia","Coccoloba obtusifolia"
"145","Coccpadi","Polygonaceae","Coccoloba","padiformis","tree","Coccoloba padiformis","Coccoloba padiformis","Coccoloba padiformis"
"146","Coccsp","Polygonaceae","Coccoloba","sp","tree","Coccoloba sp","Coccoloba sp","Coccoloba"
"147","Coccsp1","Polygonaceae","Coccoloba","sp1","tree","Coccoloba sp1","Coccoloba sp","Coccoloba"
"148","Coccsp2","Polygonaceae","Coccoloba","sp2","tree","Coccoloba sp2","Coccoloba sp","Coccoloba"
"149","Coccsp4","Polygonaceae","Coccoloba","sp4","shrub","Coccoloba sp4","Coccoloba sp","Coccoloba"
"150","Cochorin","Bixaceae","Cochlospermum","orinocense","tree","Cochlospermum orinocense","Cochlospermum orinocense","Cochlospermum orinocense"
"151","Coffarab","Rubiaceae","Coffea","arabica","shrub","Coffea arabica","Coffea arabica","Coffea arabica"
"152","Combacul","Combretaceae","Combretum","aculeatum","liana","Combretum aculeatum","Combretum aculeatum","Combretum aculeatum"
"153","Combfrut","Combretaceae","Combretum","fruticosum","liana","Combretum fruticosum","Combretum fruticosum","Combretum fruticosum"
"154","Combsp","Combretaceae","Combretum","sp","liana","Combretum sp","Combretum sp","Combretum"
"155","Connrube","Connaraceae","Connarus","ruber","treelet","Connarus ruber","Connarus ruber","Connarus ruber"
"156","Connvene","Connaraceae","Connarus","venezuelanus","tree","Connarus venezuelanus","Connarus venezuelanus","Connarus venezuelanus"
"157","Cordalba","Boraginaceae","Cordia","alba","tree","Cordia alba","Cordia alba","Cordia alba"
"158","Cordalli","Boraginaceae","Cordia","alliodora","tree","Cordia alliodora","Cordia alliodora","Cordia alliodora"
"159","Cordbico","Boraginaceae","Cordia","bicolor","tree","Cordia bicolor","Cordia bicolor","Cordia bicolor"
"160","Cordgera","Boraginaceae","Cordia","gerascanthus","tree","Cordia gerascanthus","Cordia gerascanthus","Cordia gerascanthus"
"161","Cordmacu","Boraginaceae","Cordia","macuirensis","tree","Cordia macuirensis","Cordia macuirensis","Cordia macuirensis"
"162","Cordmyrc","Rubiaceae","Cordiera","myrciifolia","treelet","Cordiera myrciifolia","Cordiera myrciifolia","Cordiera myrciifolia"
"163","Cordpana","Boraginaceae","Cordia","panamensis","tree","Cordia panamensis","Cordia panamensis","Cordia panamensis"
"164","Cordsp","Boraginaceae","Cordia","sp","tree","Cordia sp","Cordia sp","Cordia"
"165","Costcomo","Costaceae","Costus","comosus","forb","Costus comosus","Costus comosus","Costus comosus"
"166","Courferr","Fabaceae","Coursetia","ferruginea","tree","Coursetia ferruginea","Coursetia ferruginea","Coursetia ferruginea"
"167","Couspani","Rubiaceae","Coussarea","paniculata","treelet","Coussarea paniculata","Coussarea paniculata","Coussarea paniculata"
"168","Couthexa","Rubiaceae","Coutarea","hexandra","treelet","Coutarea hexandra","Coutarea hexandra","Coutarea hexandra"
"169","Coutsp","Rubiaceae","Coutarea","sp","treelet","Coutarea sp","Coutarea sp","Coutarea"
"170","Crattapi","Capparaceae","Crateva","tapia","treelet","Crateva tapia","Crateva tapia","Crateva tapia"
"171","Crotgoss","Euphorbiaceae","Croton","gossypiifolius","tree","Croton gossypiifolius","Croton gossypiifolius","Croton gossypiifolius"
"172","Crotmega","Euphorbiaceae","Croton","megalodendron","tree","Croton megalodendron","Croton megalodendron","Croton megalodendron"
"173","Crotnive","Euphorbiaceae","Croton","niveus","tree","Croton niveus","Croton niveus","Croton niveus"
"174","Crotpunc","Euphorbiaceae","Croton","punctatus","shrub","Croton punctatus","Croton punctatus","Croton punctatus"
"175","Crotrham","Euphorbiaceae","Croton","rhamnifolius","treelet","Croton rhamnifolius","Croton rhamnifolius","Croton rhamnifolius"
"176","Crotschi","Euphorbiaceae","Croton","schiedeanus","treelet","Croton schiedeanus","Croton schiedeanus","Croton schiedeanus"
"177","Crotsp","Euphorbiaceae","Croton","sp","tree","Croton sp","Croton sp","Croton"
"178","Cupaamer","Sapindaceae","Cupania","americana","tree","Cupania americana","Cupania americana","Cupania americana"
"179","Cupacine","Sapindaceae","Cupania","cinerea","tree","Cupania cinerea","Cupania cinerea","Cupania cinerea"
"180","Cupalati","Sapindaceae","Cupania","latifolia","tree","Cupania latifolia","Cupania latifolia","Cupania latifolia"
"181","Cupasp1","Sapindaceae","Cupania","sp1","tree","Cupania sp1","Cupania sp","Cupania"
"182","Cynoampl","Capparaceae","Cynophalla","amplissima","tree","Cynophalla amplissima","Cynophalla amplissima","Cynophalla amplissima"
"183","Cynoflex","Capparaceae","Cynophalla","flexuosa","tree","Cynophalla flexuosa","Cynophalla flexuosa","Cynophalla flexuosa"
"184","Cynohast","Capparaceae","Cynophalla","hastata","tree","Cynophalla hastata","Cynophalla hastata","Cynophalla hastata"
"185","Cynoline","Capparaceae","Cynophalla","linearis","tree","Cynophalla linearis","Cynophalla linearis","Cynophalla linearis"
"186","Cynopoly","Capparaceae","Cynophalla","polyantha","tree","Cynophalla polyantha","Cynophalla polyantha","Cynophalla polyantha"
"187","Cynoverr","Capparaceae","Cynophalla","verrucosa","tree","Cynophalla verrucosa","Cynophalla verrucosa","Cynophalla verrucosa"
"188","Daphsp","Thymelaeaceae","Daphnopsis","sp","tree","Daphnopsis sp","Daphnopsis sp","Daphnopsis"
"189","Dendarbo","Araliaceae","Dendropanax","arboreus","tree","Dendropanax arboreus","Dendropanax arboreus","Dendropanax arboreus"
"190","Dilocost","Sapindaceae","Dilodendron","costaricense","tree","Dilodendron costaricense","Dilodendron costaricense","Dilodendron costaricense"
"191","Diloeleg","Sapindaceae","Dilodendron","elegans","tree","Dilodendron elegans","Dilodendron elegans","Dilodendron elegans"
"192","Dimestro","Costaceae","Dimerocostus","strobilaceus","forb","Dimerocostus strobilaceus","Dimerocostus strobilaceus","Dimerocostus strobilaceus"
"193","Diocsp1","Fabaceae","Dioclea","sp1","liana","Dioclea sp1","Dioclea sp","Dioclea"
"194","Diossp1","Ebenaceae","Diospyros","sp1","tree","Diospyros sp1","Diospyros sp","Diospyros"
"195","Diossp2","Ebenaceae","Diospyros","sp2","tree","Diospyros sp2","Diospyros sp","Diospyros"
"196","Discsp","Stemonuraceae","Discophora","sp","tree","Discophora sp","Discophora sp","Discophora"
"197","Doliungu","Bignoniaceae","Dolichandra","unguis-cati","liana","Dolichandra unguis-cati","Dolichandra unguis-cati","Dolichandra unguis-cati"
"198","Duguluci","Annonaceae","Duguetia","lucida","tree","Duguetia lucida","Duguetia lucida","Duguetia lucida"
"199","Duguodor","Annonaceae","Duguetia","odorata","tree","Duguetia odorata","Duguetia odorata","Duguetia odorata"
"200","Elaesp","Sapotaceae","Elaeoluma","sp","tree","Elaeoluma sp","Elaeoluma sp","Elaeoluma"
