"","code","family","genus","specificEpithet","life_form","scientificName","scientificName2","scientifiNameV"
"417","Ocotscho","Lauraceae","Ocotea","schomburgkiana","tree","Ocotea schomburgkiana","Ocotea schomburgkiana","Ocotea schomburgkiana"
"418","Ocotvera","Lauraceae","Ocotea","veraguensis","tree","Ocotea veraguensis","Ocotea veraguensis","Ocotea veraguensis"
"419","Omphdian","Euphorbiaceae","Omphalea","diandra","liana","Omphalea diandra","Omphalea diandra","Omphalea diandra"
"420","Onosonos","Asteraceae","Onoseris","onoseroides","shrub","Onoseris onoseroides","Onoseris onoseroides","Onoseris onoseroides"
"421","Opunsp","Cactaceae","Opuntia","sp","cactus","Opuntia sp","Opuntia sp","Opuntia"
"422","Ourapoly","Ochnaceae","Ouratea","polyantha","tree","Ouratea polyantha","Ouratea polyantha","Ouratea polyantha"
"423","Ourasp","Ochnaceae","Ouratea","sp","tree","Ouratea sp","Ouratea sp","Ouratea"
"424","Oxanespi","Annonaceae","Oxandra","espintana","tree","Oxandra espintana","Oxandra espintana","Oxandra espintana"
"425","Oxansp","Annonaceae","Oxandra","sp","tree","Oxandra sp","Oxandra sp","Oxandra"
"426","Pachnuka","Malvaceae","Pachira","nukakica","tree","Pachira nukakica","Pachira nukakica","Pachira nukakica"
"427","Pachquin","Malvaceae","Pachira","quinata","tree","Pachira quinata","Pachira quinata","Pachira quinata"
"428","Palirigi","Rubiaceae","Palicourea","rigida","shrub","Palicourea rigida","Palicourea rigida","Palicourea rigida"
"429","Palisp","Rubiaceae","Palicourea","sp","shrub","Palicourea sp","Palicourea sp","Palicourea"
"430","Paulalat","Sapindaceae","Paullinia","alata","liana","Paullinia alata","Paullinia alata","Paullinia alata"
"431","Paulcapr","Sapindaceae","Paullinia","capreolata","liana","Paullinia capreolata","Paullinia capreolata","Paullinia capreolata"
"432","Paulcuru","Sapindaceae","Paullinia","cururu","liana","Paullinia cururu","Paullinia cururu","Paullinia cururu"
"433","Paulglob","Sapindaceae","Paullinia","globosa","liana","Paullinia globosa","Paullinia globosa","Paullinia globosa"
"434","Paulsp","Sapindaceae","Paullinia","sp","liana","Paullinia sp","Paullinia sp","Paullinia"
"435","Paulsp2","Sapindaceae","Paullinia","sp2","liana","Paullinia sp2","Paullinia sp","Paullinia"
"436","Peltpurp","Fabaceae","Peltogyne","purpurea","tree","Peltogyne purpurea","Peltogyne purpurea","Peltogyne purpurea"
"437","Peltsp","Fabaceae","Peltogyne","sp","tree","Peltogyne sp","Peltogyne sp","Peltogyne"
"438","Peraglab","Euphorbiaceae","Pera","glabrata","tree","Pera glabrata","Pera glabrata","Pera glabrata"
"439","Pereguam","Cactaceae","Pereskia","guamacho","treelet","Pereskia guamacho","Pereskia guamacho","Pereskia guamacho"
"440","Petrpube","Verbenaceae","Petrea","pubescens","tree","Petrea pubescens","Petrea pubescens","Petrea pubescens"
"441","Petrsp","Verbenaceae","Petrea","sp","tree","Petrea sp","Petrea sp","Petrea"
"442","Phanguia","Fabaceae","Phanera","guianensis","liana","Phanera guianensis","Phanera guianensis","Phanera guianensis"
"443","Phrysp1","Bignoniaceae","Phryganocydia","sp1","liana","Phryganocydia sp1","Phryganocydia sp","Phryganocydia"
"444","Phylatte","Phyllanthaceae","Phyllanthus","attenuatus","tree","Phyllanthus attenuatus","Phyllanthus attenuatus","Phyllanthus attenuatus"
"445","Phylbotr","Phyllanthaceae","Phyllanthus","botryanthus","shrub","Phyllanthus botryanthus","Phyllanthus botryanthus","Phyllanthus botryanthus"
"446","Phylrham","Ulmaceae","Phyllostylon","rhamnoides","tree","Phyllostylon rhamnoides","Phyllostylon rhamnoides","Phyllostylon rhamnoides"
"447","Picrgrac","Picramniaceae","Picramnia","gracilis","shrub","Picramnia gracilis","Picramnia gracilis","Picramnia gracilis"
"448","Pilolanu","Cactaceae","Pilosocereus","lanuginosus","cactus","Pilosocereus lanuginosus","Pilosocereus lanuginosus","Pilosocereus lanuginosus"
"449","Pipeamal","Piperaceae","Piper","amalago","shrub","Piper amalago","Piper amalago","Piper amalago"
"450","Pipearbo","Piperaceae","Piper","arboreum","shrub","Piper arboreum","Piper arboreum","Piper arboreum"
"451","Pipesp6","Piperaceae","Piper","sp6","treelet","Piper sp6","Piper sp","Piper"
"452","Piptdisc","Asteraceae","Piptocoma","discolor","tree","Piptocoma discolor","Piptocoma discolor","Piptocoma discolor"
"453","Piptflav","Fabaceae","Piptadenia","flava","treelet","Piptadenia flava","Piptadenia flava","Piptadenia flava"
"454","Piptsp","Fabaceae","Piptadenia","sp","tree","Piptadenia sp","Piptadenia sp","Piptadenia"
"455","Pisoacul","Nyctaginaceae","Pisonia","aculeata","liana","Pisonia aculeata","Pisonia aculeata","Pisonia aculeata"
"456","Pithdulc","Fabaceae","Pithecellobium","dulce","tree","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium dulce"
"457","Pithlanc","Fabaceae","Pithecellobium","lanceolatum","tree","Pithecellobium lanceolatum","Pithecellobium lanceolatum","Pithecellobium lanceolatum"
"458","Pithrose","Fabaceae","Pithecellobium","roseum","tree","Pithecellobium roseum","Pithecellobium roseum","Pithecellobium roseum"
"459","Pithsp2","Fabaceae","Pithecellobium","sp2","treelet","Pithecellobium sp2","Pithecellobium sp","Pithecellobium"
"460","Pitttric","Rubiaceae","Pittoniotis","trichantha","tree","Pittoniotis trichantha","Pittoniotis trichantha","Pittoniotis trichantha"
"461","Platpinn","Fabaceae","Platymiscium","pinnatum","tree","Platymiscium pinnatum","Platymiscium pinnatum","Platymiscium pinnatum"
"462","Plumpudi","Apocynaceae","Plumeria","pudica","tree","Plumeria pudica","Plumeria pudica","Plumeria pudica"
"463","Poutplic","Sapotaceae","Pouteria","plicata","tree","Pouteria plicata","Pouteria plicata","Pouteria plicata"
"464","Poutsp1","Sapotaceae","Pouteria","sp1","tree","Pouteria sp1","Pouteria sp","Pouteria"
"465","Poutsp3","Sapotaceae","Pouteria","sp3","tree","Pouteria sp3","Pouteria sp","Pouteria"
"466","Poutsp4","Sapotaceae","Pouteria","sp4","tree","Pouteria sp4","Pouteria sp","Pouteria"
"467","Poutsp7","Sapotaceae","Pouteria","sp7","tree","Pouteria sp7","Pouteria sp","Pouteria"
"468","Poutsp8","Sapotaceae","Pouteria","sp8","tree","Pouteria sp8","Pouteria sp","Pouteria"
"469","Poutveno","Sapotaceae","Pouteria","venosa","tree","Pouteria venosa","Pouteria venosa","Pouteria venosa"
"470","Pradcolo","Sapotaceae","Pradosia","colombiana","tree","Pradosia colombiana","Pradosia colombiana","Pradosia colombiana"
"471","Pressp","Apocynaceae","Prestonia","sp","liana","Prestonia sp","Prestonia sp","Prestonia"
"472","Prestrif","Apocynaceae","Prestonia","trifida","liana","Prestonia trifida","Prestonia trifida","Prestonia trifida"
"473","Prioaspe","Celastraceae","Prionostemma","aspera","liana","Prionostemma aspera","Prionostemma aspera","Prionostemma aspera"
"474","Prosjuli","Fabaceae","Prosopis","juliflora","treelet","Prosopis juliflora","Prosopis juliflora","Prosopis juliflora"
"475","Protguia","Burseraceae","Protium","guianense","tree","Protium guianense","Protium guianense","Protium guianense"
"476","Prothept","Burseraceae","Protium","heptaphyllum","tree","Protium heptaphyllum","Protium heptaphyllum","Protium heptaphyllum"
"477","Prottenu","Burseraceae","Protium","tenuifolium","tree","Protium tenuifolium","Protium tenuifolium","Protium tenuifolium"
"478","Pseuguac","Fabaceae","Pseudosamanea","guachapele","tree","Pseudosamanea guachapele","Pseudosamanea guachapele","Pseudosamanea guachapele"
"479","Pseusept","Malvaceae","Pseudobombax","septenatum","tree","Pseudobombax septenatum","Pseudobombax septenatum","Pseudobombax septenatum"
"480","Pseusp","Annonaceae","Pseudomalmea","sp","tree","Pseudomalmea sp","Pseudomalmea sp","Pseudomalmea"
"481","Pseusp1","Moraceae","Pseudolmedia","sp1","tree","Pseudolmedia sp1","Pseudolmedia sp","Pseudolmedia"
"482","Pseuumbe","Myrtaceae","Pseudanamomis","umbellulifera","shrub","Pseudanamomis umbellulifera","Pseudanamomis umbellulifera","Pseudanamomis umbellulifera"
"483","Psidguin","Myrtaceae","Psidium","guineense","treelet","Psidium guineense","Psidium guineense","Psidium guineense"
"484","Psycmicr","Rubiaceae","Psychotria","micrantha","shrub","Psychotria micrantha","Psychotria micrantha","Psychotria micrantha"
"485","Psycsp","Rubiaceae","Psychotria","sp","shrub","Psychotria sp","Psychotria sp","Psychotria"
"486","Pteroffi","Fabaceae","Pterocarpus","officinalis","tree","Pterocarpus officinalis","Pterocarpus officinalis","Pterocarpus officinalis"
"487","Pterrohr","Fabaceae","Pterocarpus","rohrii","tree","Pterocarpus rohrii","Pterocarpus rohrii","Pterocarpus rohrii"
"488","Ptersp","Fabaceae","Pterocarpus","sp","tree","Pterocarpus sp","Pterocarpus sp","Pterocarpus"
"489","Ptersp4","Fabaceae","Pterocarpus","sp4","tree","Pterocarpus sp4","Pterocarpus sp","Pterocarpus"
"490","Puerphas","Fabaceae","Pueraria","phaseoloides","liana","Pueraria phaseoloides","Pueraria phaseoloides","Pueraria phaseoloides"
"491","Quadindi","Capparaceae","Quadrella","indica","tree","Quadrella indica","Quadrella indica","Quadrella indica"
"492","Quadodor","Capparaceae","Quadrella","odoratissima","tree","Quadrella odoratissima","Quadrella odoratissima","Quadrella odoratissima"
"493","Randacul","Rubiaceae","Randia","aculeata","tree","Randia aculeata","Randia aculeata","Randia aculeata"
"494","Randarma","Rubiaceae","Randia","armata","tree","Randia armata","Randia armata","Randia armata"
"495","Randdioi","Rubiaceae","Randia","dioica","tree","Randia dioica","Randia dioica","Randia dioica"
"496","Randobco","Rubiaceae","Randia","obcordata","treelet","Randia obcordata","Randia obcordata","Randia obcordata"
"497","Randpubi","Rubiaceae","Randia","pubistyla","treelet","Randia pubistyla","Randia pubistyla","Randia pubistyla"
"498","Rinopubi","Violaceae","Rinorea","pubiflora","shrub","Rinorea pubiflora","Rinorea pubiflora","Rinorea pubiflora"
"499","Rinosp1","Violaceae","Rinorea","sp1","tree","Rinorea sp1","Rinorea sp","Rinorea"
"500","Rollmuco","Annonaceae","Rollinia","mucosa","tree","Rollinia mucosa","Rollinia mucosa","Rollinia mucosa"
"501","Rosechry","Bignoniaceae","Roseodendron","chryseum","tree","Roseodendron chryseum","Roseodendron chryseum","Roseodendron chryseum"
"502","Rudgcras","Rubiaceae","Rudgea","crassiloba","tree","Rudgea crassiloba","Rudgea crassiloba","Rudgea crassiloba"
"503","Rudghost","Rubiaceae","Rudgea","hostmanniana","treelet","Rudgea hostmanniana","Rudgea hostmanniana","Rudgea hostmanniana"
"504","Rudgsp","Rubiaceae","Rudgea","sp","shrub","Rudgea sp","Rudgea sp","Rudgea"
"505","Ruprrami","Polygonaceae","Ruprechtia","ramiflora","tree","Ruprechtia ramiflora","Ruprechtia ramiflora","Ruprechtia ramiflora"
"506","Ruprsp1","Polygonaceae","Ruprechtia","sp1","tree","Ruprechtia sp1","Ruprechtia sp","Ruprechtia"
"507","Sageeleg","Rhamnaceae","Sageretia","elegans","liana","Sageretia elegans","Sageretia elegans","Sageretia elegans"
"508","Salasp","Celastraceae","Salacia","sp","liana","Salacia sp","Salacia sp","Salacia"
"509","Sapiglan","Euphorbiaceae","Sapium","glandulosum","tree","Sapium glandulosum","Sapium glandulosum","Sapium glandulosum"
"510","Sapisapo","Sapindaceae","Sapindus","saponaria","tree","Sapindus saponaria","Sapindus saponaria","Sapindus saponaria"
"511","Schafrut","Celastraceae","Schaefferia","frutescens","shrub","Schaefferia frutescens","Schaefferia frutescens","Schaefferia frutescens"
"512","Schemoro","Araliaceae","Schefflera","morototoni","tree","Schefflera morototoni","Schefflera morototoni","Schefflera morototoni"
"513","Secusp","Polygalaceae","Securidaca","sp","tree","Securidaca sp","Securidaca sp","Securidaca"
"514","Secusp2","Polygalaceae","Securidaca","sp2","shrub","Securidaca sp2","Securidaca sp","Securidaca"
"515","Seguamer","Petiveriaceae","Seguieria","americana","liana","Seguieria americana","Seguieria americana","Seguieria americana"
"516","Senegaum","Fabaceae","Senegalia","gaumeri","tree","Senegalia gaumeri","Senegalia gaumeri","Senegalia gaumeri"
"517","Senehaye","Fabaceae","Senegalia","hayesii","shrub","Senegalia hayesii","Senegalia hayesii","Senegalia hayesii"
"518","Senemacb","Fabaceae","Senegalia","macbridei","liana","Senegalia macbridei","Senegalia macbridei","Senegalia macbridei"
"519","Senesp","Fabaceae","Senegalia","sp","tree","Senegalia sp","Senegalia sp","Senegalia"
"520","Senesp1","Fabaceae","Senegalia","sp1","tree","Senegalia sp1","Senegalia sp","Senegalia"
"521","Senesp2","Fabaceae","Senegalia","sp2","treelet","Senegalia sp2","Senegalia sp","Senegalia"
"522","Senetama","Fabaceae","Senegalia","tamarindifolia","tree","Senegalia tamarindifolia","Senegalia tamarindifolia","Senegalia tamarindifolia"
"523","Sennatom","Fabaceae","Senna","atomaria","tree","Senna atomaria","Senna atomaria","Senna atomaria"
"524","Sennbaci","Fabaceae","Senna","bacillaris","shrub","Senna bacillaris","Senna bacillaris","Senna bacillaris"
"525","Sennpall","Fabaceae","Senna","pallida","treelet","Senna pallida","Senna pallida","Senna pallida"
"526","Sennsp1","Fabaceae","Senna","sp1","tree","Senna sp1","Senna sp","Senna"
"527","Sennsp2","Fabaceae","Senna","sp2","treelet","Senna sp2","Senna sp","Senna"
"528","Sennspec","Fabaceae","Senna","spectabilis","tree","Senna spectabilis","Senna spectabilis","Senna spectabilis"
"529","Serjadus","Sapindaceae","Serjania","adusta","liana","Serjania adusta","Serjania adusta","Serjania adusta"
"530","Serjsp1","Sapindaceae","Serjania","sp1","liana","Serjania sp1","Serjania sp","Serjania"
"531","Sideobtu","Sapotaceae","Sideroxylon","obtusifolium","treelet","Sideroxylon obtusifolium","Sideroxylon obtusifolium","Sideroxylon obtusifolium"
"532","Simicord","Rubiaceae","Simira","cordifolia","tree","Simira cordifolia","Simira cordifolia","Simira cordifolia"
"533","Simiklug","Rubiaceae","Simira","klugei","tree","Simira klugei","Simira klugei","Simira klugei"
"534","Simirube","Rubiaceae","Simira","rubescens","tree","Simira rubescens","Simira rubescens","Simira rubescens"
"535","Sipaguia","Siparunaceae","Siparuna","guianensis","tree","Siparuna guianensis","Siparuna guianensis","Siparuna guianensis"
"536","Smilsp","Smilacaceae","Smilax","sp","liana","Smilax sp","Smilax sp","Smilax"
"537","Solaaspe","Solanaceae","Solanum","asperum","shrub","Solanum asperum","Solanum asperum","Solanum asperum"
"538","Solalepi","Solanaceae","Solanum","lepidotum","shrub","Solanum lepidotum","Solanum lepidotum","Solanum lepidotum"
"539","Solaschl","Solanaceae","Solanum","schlechtendalianum","shrub","Solanum schlechtendalianum","Solanum schlechtendalianum","Solanum schlechtendalianum"
"540","Solasp","Solanaceae","Solanum","sp","shrub","Solanum sp","Solanum sp","Solanum"
"541","Soromuri","Moraceae","Sorocea","muriculata","tree","Sorocea muriculata","Sorocea muriculata","Sorocea muriculata"
"542","Sorosp","Moraceae","Sorocea","sp","tree","Sorocea sp","Sorocea sp","Sorocea"
"543","Sorospru","Moraceae","Sorocea","sprucei","tree","Sorocea sprucei","Sorocea sprucei","Sorocea sprucei"
"544","Sorotrop","Moraceae","Sorocea","trophoides","tree","Sorocea trophoides","Sorocea trophoides","Sorocea trophoides"
"545","Spatsp","Rutaceae","Spathelia","sp","tree","Spathelia sp","Spathelia sp","Spathelia"
"546","Sponmomb","Anacardiaceae","Spondias","mombin","tree","Spondias mombin","Spondias mombin","Spondias mombin"
"547","Sponradl","Anacardiaceae","Spondias","radlkoferi","tree","Spondias radlkoferi","Spondias radlkoferi","Spondias radlkoferi"
"548","Stengris","Cactaceae","Stenocereus","griseus","cactus","Stenocereus griseus","Stenocereus griseus","Stenocereus griseus"
"549","Stenhumi","Cactaceae","Stenocereus","humilis","cactus","Stenocereus humilis","Stenocereus humilis","Stenocereus humilis"
"550","Strypana","Loganiaceae","Strychnos","panamensis","liana","Strychnos panamensis","Strychnos panamensis","Strychnos panamensis"
"551","Stylturb","Primulaceae","Stylogyne","turbacensis","tree","Stylogyne turbacensis","Stylogyne turbacensis","Stylogyne turbacensis"
"552","Stypspor","Fabaceae","Styphnolobium","sporadicum","tree","Styphnolobium sporadicum","Styphnolobium sporadicum","Styphnolobium sporadicum"
"553","Swarpitt","Fabaceae","Swartzia","pittieri","tree","Swartzia pittieri","Swartzia pittieri","Swartzia pittieri"
"554","Swarrobi","Fabaceae","Swartzia","robiniifolia","treelet","Swartzia robiniifolia","Swartzia robiniifolia","Swartzia robiniifolia"
"555","Swarsimp","Fabaceae","Swartzia","simplex","tree","Swartzia simplex","Swartzia simplex","Swartzia simplex"
"556","Swarsp1","Fabaceae","Swartzia","sp1","treelet","Swartzia sp1","Swartzia sp","Swartzia"
"557","Swartria","Fabaceae","Swartzia","trianae","tree","Swartzia trianae","Swartzia trianae","Swartzia trianae"
"558","Syagsanc","Arecaceae","Syagrus","sancona","palm","Syagrus sancona","Syagrus sancona","Syagrus sancona"
"559","Tabeamyg","Apocynaceae","Tabernaemontana","amygdalifolia","tree","Tabernaemontana amygdalifolia","Tabernaemontana amygdalifolia","Tabernaemontana amygdalifolia"
"560","Tabegran","Apocynaceae","Tabernaemontana","grandiflora","tree","Tabernaemontana grandiflora","Tabernaemontana grandiflora","Tabernaemontana grandiflora"
"561","Tabemark","Apocynaceae","Tabernaemontana","markgrafiana","treelet","Tabernaemontana markgrafiana","Tabernaemontana markgrafiana","Tabernaemontana markgrafiana"
"562","Taberose","Bignoniaceae","Tabebuia","rosea","tree","Tabebuia rosea","Tabebuia rosea","Tabebuia rosea"
"563","Tabesp1","Apocynaceae","Tabernaemontana","sp1","tree","Tabernaemontana sp1","Tabernaemontana sp","Tabernaemontana"
"564","Tachguia","Fabaceae","Tachigali","guianensis","tree","Tachigali guianensis","Tachigali guianensis","Tachigali guianensis"
"565","Tanatetr","Bignoniaceae","Tanaecium","tetragonolobum","liana","Tanaecium tetragonolobum","Tanaecium tetragonolobum","Tanaecium tetragonolobum"
"566","Tapiguia","Anacardiaceae","Tapirira","guianensis","tree","Tapirira guianensis","Tapirira guianensis","Tapirira guianensis"
"567","Termamaz","Combretaceae","Terminalia","amazonia","tree","Terminalia amazonia","Terminalia amazonia","Terminalia amazonia"
"568","Termoblo","Combretaceae","Terminalia","oblonga","tree","Terminalia oblonga","Terminalia oblonga","Terminalia oblonga"
"569","Tetrpana","Burseraceae","Tetragastris","panamensis","tree","Tetragastris panamensis","Tetragastris panamensis","Tetragastris panamensis"
"570","Tocoguia","Melastomataceae","Tococa","guianensis","shrub","Tococa guianensis","Tococa guianensis","Tococa guianensis"
"571","Tratlawr","Burseraceae","Trattinnickia","lawrancei","tree","Trattinnickia lawrancei","Trattinnickia lawrancei","Trattinnickia lawrancei"
"572","Tricacum","Meliaceae","Trichilia","acuminata","tree","Trichilia acuminata","Trichilia acuminata","Trichilia acuminata"
"573","Triccari","Meliaceae","Trichilia","carinata","tree","Trichilia carinata","Trichilia carinata","Trichilia carinata"
"574","Triceleg","Meliaceae","Trichilia","elegans","tree","Trichilia elegans","Trichilia elegans","Trichilia elegans"
"575","Trichirt","Meliaceae","Trichilia","hirta","tree","Trichilia hirta","Trichilia hirta","Trichilia hirta"
"576","Tricmart","Meliaceae","Trichilia","martiana","tree","Trichilia martiana","Trichilia martiana","Trichilia martiana"
"577","Tricocta","Phytolaccaceae","Trichostigma","octandrum","liana","Trichostigma octandrum","Trichostigma octandrum","Trichostigma octandrum"
"578","Tricolig","Meliaceae","Trichilia","oligofoliolata","tree","Trichilia oligofoliolata","Trichilia oligofoliolata","Trichilia oligofoliolata"
"579","Tricpall","Meliaceae","Trichilia","pallida","tree","Trichilia pallida","Trichilia pallida","Trichilia pallida"
"580","Tripamer","Polygonaceae","Triplaris","americana","tree","Triplaris americana","Triplaris americana","Triplaris americana"
"581","Tripmela","Polygonaceae","Triplaris","melaenodendron","tree","Triplaris melaenodendron","Triplaris melaenodendron","Triplaris melaenodendron"
"582","Tripsp","Polygonaceae","Triplaris","sp","tree","Triplaris sp","Triplaris sp","Triplaris"
"583","Troprace","Moraceae","Trophis","racemosa","tree","Trophis racemosa","Trophis racemosa","Trophis racemosa"
"584","Urerbacc","Urticaceae","Urera","baccifera","shrub","Urera baccifera","Urera baccifera","Urera baccifera"
"585","Urercara","Urticaceae","Urera","caracasana","tree","Urera caracasana","Urera caracasana","Urera caracasana"
"586","Urersimp","Urticaceae","Urera","simplex","tree","Urera simplex","Urera simplex","Urera simplex"
"587","Vachcoll","Fabaceae","Vachellia","collinsii","tree","Vachellia collinsii","Vachellia collinsii","Vachellia collinsii"
"588","Vachfarn","Fabaceae","Vachellia","farnesiana","treelet","Vachellia farnesiana","Vachellia farnesiana","Vachellia farnesiana"
"589","Vachmacr","Fabaceae","Vachellia","macracantha","treelet","Vachellia macracantha","Vachellia macracantha","Vachellia macracantha"
"590","Vachpenn","Fabaceae","Vachellia","pennatula","tree","Vachellia pennatula","Vachellia pennatula","Vachellia pennatula"
"591","Vachsp","Fabaceae","Vachellia","sp","tree","Vachellia sp","Vachellia sp","Vachellia"
"592","Vachtort","Fabaceae","Vachellia","tortuosa","treelet","Vachellia tortuosa","Vachellia tortuosa","Vachellia tortuosa"
"593","Vascsp","Caricaceae","Vasconcellea","sp","treelet","Vasconcellea sp","Vasconcellea sp","Vasconcellea"
"594","Verbsp","Asteraceae","Verbesina","sp","tree","Verbesina sp","Verbesina sp","Verbesina"
"595","Vernpate","Asteraceae","Vernonanthura","patens","forb","Vernonanthura patens","Vernonanthura patens","Vernonanthura patens"
"596","Vigncara","Fabaceae","Vigna","caracalla","liana","Vigna caracalla","Vigna caracalla","Vigna caracalla"
"597","Vismguia","Hypericaceae","Vismia","guianensis","tree","Vismia guianensis","Vismia guianensis","Vismia guianensis"
"598","Vismmacr","Hypericaceae","Vismia","macrophylla","tree","Vismia macrophylla","Vismia macrophylla","Vismia macrophylla"
"599","Vitecomp","Lamiaceae","Vitex","compressa","tree","Vitex compressa","Vitex compressa","Vitex compressa"
"600","Viteorin","Lamiaceae","Vitex","orinocensis","tree","Vitex orinocensis","Vitex orinocensis","Vitex orinocensis"
"601","Vitesp","Lamiaceae","Vitex","sp","treelet","Vitex sp","Vitex sp","Vitex"
"602","Vochlehm","Vochysiaceae","Vochysia","lehmannii","tree","Vochysia lehmannii","Vochysia lehmannii","Vochysia lehmannii"
"603","Vochvism","Vochysiaceae","Vochysia","vismiifolia","tree","Vochysia vismiifolia","Vochysia vismiifolia","Vochysia vismiifolia"
"604","Warscocc","Rubiaceae","Warszewiczia","coccinea","treelet","Warszewiczia coccinea","Warszewiczia coccinea","Warszewiczia coccinea"
"605","Xyloarom","Annonaceae","Xylopia","aromatica","tree","Xylopia aromatica","Xylopia aromatica","Xylopia aromatica"
"606","Xylointe","Salicaceae","Xylosma","intermedia","treelet","Xylosma intermedia","Xylosma intermedia","Xylosma intermedia"
"607","Xyloseem","Bignoniaceae","Xylophragma","seemannianum","liana","Xylophragma seemannianum","Xylophragma seemannianum","Xylophragma seemannianum"
"608","Zantfaga","Rutaceae","Zanthoxylum","fagara","treelet","Zanthoxylum fagara","Zanthoxylum fagara","Zanthoxylum fagara"
"609","Zantlent","Rutaceae","Zanthoxylum","lenticulare","tree","Zanthoxylum lenticulare","Zanthoxylum lenticulare","Zanthoxylum lenticulare"
"610","Zantrhoi","Rutaceae","Zanthoxylum","rhoifolium","tree","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium"
"611","Zantrigi","Rutaceae","Zanthoxylum","rigidum","tree","Zanthoxylum rigidum","Zanthoxylum rigidum","Zanthoxylum rigidum"
"612","Zantschr","Rutaceae","Zanthoxylum","schreberi","tree","Zanthoxylum schreberi","Zanthoxylum schreberi","Zanthoxylum schreberi"
"613","Zantsp2","Rutaceae","Zanthoxylum","sp2","tree","Zanthoxylum sp2","Zanthoxylum sp","Zanthoxylum"
"614","Zantsp4","Rutaceae","Zanthoxylum","sp4","tree","Zanthoxylum sp4","Zanthoxylum sp","Zanthoxylum"
"615","Zantverr","Rutaceae","Zanthoxylum","verrucosum","tree","Zanthoxylum verrucosum","Zanthoxylum verrucosum","Zanthoxylum verrucosum"
"616","Zizisaer","Rhamnaceae","Ziziphus","saeri","treelet","Ziziphus saeri","Ziziphus saeri","Ziziphus saeri"
"617","Zizistry","Rhamnaceae","Ziziphus","strychnifolia","tree","Ziziphus strychnifolia","Ziziphus strychnifolia","Ziziphus strychnifolia"
"618","Zygiinae","Fabaceae","Zygia","inaequalis","tree","Zygia inaequalis","Zygia inaequalis","Zygia inaequalis"
"619","Zygisp","Fabaceae","Zygia","sp","tree","Zygia sp","Zygia sp","Zygia"
